Year,Postal_Code,Town,Province,Age,Unmarried_Men,Married_Men,Divorced_Men,Widowed_Men,Total_#_Of_Males,Unmarried_Women,Married_Women,Divorced_Women,Widowed_Women,Total_#_Of_Females
2020,45001,Aulla,MS,0,32,0,0,0,32,30,0,0,0,30
2020,45001,Aulla,MS,1,30,0,0,0,30,34,0,0,0,34
2020,45001,Aulla,MS,2,43,0,0,0,43,39,0,0,0,39
2020,45001,Aulla,MS,3,50,0,0,0,50,35,0,0,0,35
2020,45001,Aulla,MS,4,38,0,0,0,38,29,0,0,0,29
2020,45001,Aulla,MS,5,42,0,0,0,42,27,0,0,0,27
2020,45001,Aulla,MS,6,44,0,0,0,44,41,0,0,0,41
2020,45001,Aulla,MS,7,57,0,0,0,57,51,0,0,0,51
2020,45001,Aulla,MS,8,46,0,0,0,46,43,0,0,0,43
2020,45001,Aulla,MS,9,45,0,0,0,45,67,0,0,0,67
2020,45001,Aulla,MS,10,42,0,0,0,42,39,0,0,0,39
2020,45001,Aulla,MS,11,52,0,0,0,52,49,0,0,0,49
2020,45001,Aulla,MS,12,40,0,0,0,40,54,0,0,0,54
2020,45001,Aulla,MS,13,54,0,0,0,54,39,0,0,0,39
2020,45001,Aulla,MS,14,47,0,0,0,47,43,0,0,0,43
2020,45001,Aulla,MS,15,50,0,0,0,50,42,0,0,0,42
2020,45001,Aulla,MS,16,49,0,0,0,49,55,0,0,0,55
2020,45001,Aulla,MS,17,34,0,0,0,34,39,0,0,0,39
2020,45001,Aulla,MS,18,47,0,0,0,47,41,0,0,0,41
2020,45001,Aulla,MS,19,47,0,0,0,47,46,1,0,0,47
2020,45001,Aulla,MS,20,47,0,0,0,47,41,0,0,0,41
2020,45001,Aulla,MS,21,38,0,0,0,38,39,1,0,0,40
2020,45001,Aulla,MS,22,41,0,0,0,41,41,2,0,0,43
2020,45001,Aulla,MS,23,46,0,0,0,46,36,3,0,0,39
2020,45001,Aulla,MS,24,46,0,0,0,46,42,3,0,0,45
2020,45001,Aulla,MS,25,55,0,0,0,55,37,2,0,0,39
2020,45001,Aulla,MS,26,52,0,0,0,52,39,5,0,0,44
2020,45001,Aulla,MS,27,50,2,0,0,52,38,8,0,0,46
2020,45001,Aulla,MS,28,47,6,0,0,53,40,19,0,0,59
2020,45001,Aulla,MS,29,38,6,0,0,44,30,16,1,0,47
2020,45001,Aulla,MS,30,40,7,0,0,47,52,11,2,0,65
2020,45001,Aulla,MS,31,31,12,1,0,44,34,22,0,0,56
2020,45001,Aulla,MS,32,46,17,0,0,63,43,28,1,0,72
2020,45001,Aulla,MS,33,40,12,0,0,52,33,26,0,0,59
2020,45001,Aulla,MS,34,43,10,1,0,54,20,24,0,0,44
2020,45001,Aulla,MS,35,28,16,0,0,44,26,30,0,0,56
2020,45001,Aulla,MS,36,27,29,0,0,56,25,44,0,0,69
2020,45001,Aulla,MS,37,30,24,1,0,55,14,39,3,0,56
2020,45001,Aulla,MS,38,19,44,0,0,63,12,50,3,0,65
2020,45001,Aulla,MS,39,32,28,1,1,62,18,43,3,0,64
2020,45001,Aulla,MS,40,27,41,3,0,71,29,29,0,0,58
2020,45001,Aulla,MS,41,33,28,6,0,67,16,40,5,0,61
2020,45001,Aulla,MS,42,30,51,3,0,84,13,46,8,0,67
2020,45001,Aulla,MS,43,37,59,3,0,99,32,57,6,2,97
2020,45001,Aulla,MS,44,49,44,5,0,98,25,52,4,0,81
2020,45001,Aulla,MS,45,28,47,6,0,81,16,53,7,0,76
2020,45001,Aulla,MS,46,30,45,5,0,80,22,60,9,1,92
2020,45001,Aulla,MS,47,31,53,7,0,91,13,63,10,0,86
2020,45001,Aulla,MS,48,27,58,6,0,91,19,60,7,2,88
2020,45001,Aulla,MS,49,27,58,4,0,89,16,51,6,1,74
2020,45001,Aulla,MS,50,31,56,2,0,89,13,59,4,3,79
2020,45001,Aulla,MS,51,24,62,9,1,96,6,65,12,4,87
2020,45001,Aulla,MS,52,13,57,9,1,80,11,67,9,6,93
2020,45001,Aulla,MS,53,23,55,8,0,86,12,58,11,2,83
2020,45001,Aulla,MS,54,23,62,8,2,95,14,51,10,1,76
2020,45001,Aulla,MS,55,19,77,3,2,101,6,62,14,5,87
2020,45001,Aulla,MS,56,16,73,6,0,95,9,76,12,4,101
2020,45001,Aulla,MS,57,12,87,8,1,108,8,79,22,2,111
2020,45001,Aulla,MS,58,7,59,8,3,77,13,66,9,4,92
2020,45001,Aulla,MS,59,10,68,7,4,89,13,81,5,6,105
2020,45001,Aulla,MS,60,12,53,8,1,74,7,69,8,6,90
2020,45001,Aulla,MS,61,8,64,9,0,81,4,60,8,4,76
2020,45001,Aulla,MS,62,14,55,1,2,72,0,74,5,10,89
2020,45001,Aulla,MS,63,7,60,5,3,75,5,58,6,8,77
2020,45001,Aulla,MS,64,8,55,2,2,67,4,47,2,8,61
2020,45001,Aulla,MS,65,8,73,9,3,93,3,80,4,5,92
2020,45001,Aulla,MS,66,6,57,2,1,66,2,54,4,6,66
2020,45001,Aulla,MS,67,6,38,2,3,49,3,44,2,7,56
2020,45001,Aulla,MS,68,3,50,1,3,57,1,58,4,15,78
2020,45001,Aulla,MS,69,7,49,1,3,60,2,43,2,9,56
2020,45001,Aulla,MS,70,4,51,1,2,58,3,35,5,14,57
2020,45001,Aulla,MS,71,2,61,1,1,65,2,36,4,12,54
2020,45001,Aulla,MS,72,5,45,2,4,56,1,51,4,21,77
2020,45001,Aulla,MS,73,3,53,3,4,63,1,32,3,22,58
2020,45001,Aulla,MS,74,5,49,2,5,61,0,51,4,22,77
2020,45001,Aulla,MS,75,5,37,2,5,49,3,27,1,21,52
2020,45001,Aulla,MS,76,5,36,1,7,49,1,36,1,32,70
2020,45001,Aulla,MS,77,4,35,0,4,43,2,30,0,26,58
2020,45001,Aulla,MS,78,1,44,2,7,54,1,18,2,22,43
2020,45001,Aulla,MS,79,3,33,1,1,38,1,32,1,24,58
2020,45001,Aulla,MS,80,4,33,3,9,49,3,23,2,42,70
2020,45001,Aulla,MS,81,3,30,1,6,40,1,20,2,29,52
2020,45001,Aulla,MS,82,7,19,0,10,36,2,11,0,34,47
2020,45001,Aulla,MS,83,2,35,1,7,45,0,23,1,29,53
2020,45001,Aulla,MS,84,5,17,0,4,26,0,16,1,31,48
2020,45001,Aulla,MS,85,0,15,1,6,22,0,12,0,33,45
2020,45001,Aulla,MS,86,0,17,0,2,19,5,11,0,32,48
2020,45001,Aulla,MS,87,1,16,0,6,23,1,8,0,28,37
2020,45001,Aulla,MS,88,0,16,0,6,22,1,5,1,20,27
2020,45001,Aulla,MS,89,0,7,0,2,9,3,9,0,31,43
2020,45001,Aulla,MS,90,0,8,0,3,11,2,2,0,23,27
2020,45001,Aulla,MS,91,0,8,0,4,12,1,2,0,24,27
2020,45001,Aulla,MS,92,1,2,0,4,7,1,0,0,21,22
2020,45001,Aulla,MS,93,1,6,0,1,8,1,0,0,10,11
2020,45001,Aulla,MS,94,0,4,0,3,7,0,1,0,11,12
2020,45001,Aulla,MS,95,1,0,0,2,3,1,0,0,10,11
2020,45001,Aulla,MS,96,1,0,0,1,2,0,0,0,7,7
2020,45001,Aulla,MS,97,0,0,0,0,0,2,0,0,9,11
2020,45001,Aulla,MS,98,0,0,0,1,1,0,0,0,2,2
2020,45001,Aulla,MS,99,0,0,0,1,1,1,0,0,3,4
2020,45001,Aulla,MS,100 e più,0,0,0,0,0,0,0,0,2,2
2020,45002,Bagnone,MS,0,4,0,0,0,4,3,0,0,0,3
2020,45002,Bagnone,MS,1,4,0,0,0,4,3,0,0,0,3
2020,45002,Bagnone,MS,2,4,0,0,0,4,2,0,0,0,2
2020,45002,Bagnone,MS,3,3,0,0,0,3,5,0,0,0,5
2020,45002,Bagnone,MS,4,3,0,0,0,3,4,0,0,0,4
2020,45002,Bagnone,MS,5,4,0,0,0,4,4,0,0,0,4
2020,45002,Bagnone,MS,6,5,0,0,0,5,8,0,0,0,8
2020,45002,Bagnone,MS,7,3,0,0,0,3,0,0,0,0,0
2020,45002,Bagnone,MS,8,6,0,0,0,6,4,0,0,0,4
2020,45002,Bagnone,MS,9,9,0,0,0,9,3,0,0,0,3
2020,45002,Bagnone,MS,10,4,0,0,0,4,4,0,0,0,4
2020,45002,Bagnone,MS,11,3,0,0,0,3,8,0,0,0,8
2020,45002,Bagnone,MS,12,9,0,0,0,9,11,0,0,0,11
2020,45002,Bagnone,MS,13,4,0,0,0,4,4,0,0,0,4
2020,45002,Bagnone,MS,14,15,0,0,0,15,10,0,0,0,10
2020,45002,Bagnone,MS,15,6,0,0,0,6,7,0,0,0,7
2020,45002,Bagnone,MS,16,5,0,0,0,5,3,0,0,0,3
2020,45002,Bagnone,MS,17,5,0,0,0,5,5,0,0,0,5
2020,45002,Bagnone,MS,18,5,0,0,0,5,8,0,0,0,8
2020,45002,Bagnone,MS,19,8,0,0,0,8,6,0,0,0,6
2020,45002,Bagnone,MS,20,7,0,0,0,7,4,0,0,0,4
2020,45002,Bagnone,MS,21,10,0,0,0,10,8,0,0,0,8
2020,45002,Bagnone,MS,22,7,0,0,0,7,8,0,0,0,8
2020,45002,Bagnone,MS,23,4,0,0,0,4,8,0,0,0,8
2020,45002,Bagnone,MS,24,7,0,0,0,7,7,0,0,0,7
2020,45002,Bagnone,MS,25,10,0,0,0,10,4,0,0,0,4
2020,45002,Bagnone,MS,26,8,0,0,0,8,4,0,1,0,5
2020,45002,Bagnone,MS,27,6,0,0,0,6,4,0,0,0,4
2020,45002,Bagnone,MS,28,1,0,0,0,1,5,1,0,0,6
2020,45002,Bagnone,MS,29,5,4,0,0,9,7,0,0,0,7
2020,45002,Bagnone,MS,30,7,0,0,0,7,2,2,0,0,4
2020,45002,Bagnone,MS,31,9,0,0,0,9,4,2,0,0,6
2020,45002,Bagnone,MS,32,4,1,0,0,5,3,2,0,0,5
2020,45002,Bagnone,MS,33,5,0,0,0,5,4,3,0,0,7
2020,45002,Bagnone,MS,34,6,3,0,0,9,7,3,1,0,11
2020,45002,Bagnone,MS,35,8,2,1,0,11,2,2,0,0,4
2020,45002,Bagnone,MS,36,4,1,0,0,5,3,5,0,0,8
2020,45002,Bagnone,MS,37,2,0,0,0,2,1,6,0,0,7
2020,45002,Bagnone,MS,38,2,4,0,0,6,5,3,0,0,8
2020,45002,Bagnone,MS,39,9,3,0,0,12,3,2,0,0,5
2020,45002,Bagnone,MS,40,6,2,0,0,8,6,3,0,0,9
2020,45002,Bagnone,MS,41,5,3,0,0,8,3,2,0,0,5
2020,45002,Bagnone,MS,42,4,2,0,0,6,2,5,0,0,7
2020,45002,Bagnone,MS,43,4,9,0,0,13,2,3,1,0,6
2020,45002,Bagnone,MS,44,6,5,0,0,11,2,4,0,0,6
2020,45002,Bagnone,MS,45,5,2,0,0,7,3,4,1,0,8
2020,45002,Bagnone,MS,46,4,6,0,0,10,2,10,0,0,12
2020,45002,Bagnone,MS,47,4,6,0,0,10,1,10,1,0,12
2020,45002,Bagnone,MS,48,2,6,0,0,8,5,16,0,0,21
2020,45002,Bagnone,MS,49,4,6,0,0,10,3,8,1,0,12
2020,45002,Bagnone,MS,50,2,6,1,0,9,1,10,1,0,12
2020,45002,Bagnone,MS,51,3,15,0,0,18,2,7,1,0,10
2020,45002,Bagnone,MS,52,2,12,0,2,16,1,10,1,0,12
2020,45002,Bagnone,MS,53,5,5,0,0,10,1,6,0,0,7
2020,45002,Bagnone,MS,54,3,12,1,0,16,0,9,2,1,12
2020,45002,Bagnone,MS,55,5,8,1,1,15,3,7,0,0,10
2020,45002,Bagnone,MS,56,2,12,2,0,16,1,12,1,0,14
2020,45002,Bagnone,MS,57,2,10,1,0,13,3,15,0,0,18
2020,45002,Bagnone,MS,58,2,9,0,0,11,4,10,2,0,16
2020,45002,Bagnone,MS,59,2,6,2,0,10,2,6,0,2,10
2020,45002,Bagnone,MS,60,2,8,0,0,10,1,11,0,1,13
2020,45002,Bagnone,MS,61,3,12,1,1,17,1,13,1,2,17
2020,45002,Bagnone,MS,62,5,6,1,0,12,0,7,0,0,7
2020,45002,Bagnone,MS,63,7,8,0,0,15,0,11,0,0,11
2020,45002,Bagnone,MS,64,1,16,2,0,19,0,13,0,2,15
2020,45002,Bagnone,MS,65,3,13,0,0,16,1,10,0,1,12
2020,45002,Bagnone,MS,66,2,9,1,1,13,0,13,0,4,17
2020,45002,Bagnone,MS,67,4,11,0,1,16,0,7,1,0,8
2020,45002,Bagnone,MS,68,2,8,0,1,11,0,10,1,0,11
2020,45002,Bagnone,MS,69,2,17,2,0,21,0,11,0,2,13
2020,45002,Bagnone,MS,70,2,15,1,1,19,0,8,0,2,10
2020,45002,Bagnone,MS,71,6,13,1,3,23,2,15,0,1,18
2020,45002,Bagnone,MS,72,2,13,0,0,15,1,7,0,2,10
2020,45002,Bagnone,MS,73,1,12,0,0,13,0,14,1,3,18
2020,45002,Bagnone,MS,74,3,11,0,0,14,0,10,1,4,15
2020,45002,Bagnone,MS,75,2,5,3,0,10,0,5,0,2,7
2020,45002,Bagnone,MS,76,3,11,1,0,15,0,11,0,4,15
2020,45002,Bagnone,MS,77,4,7,0,1,12,0,8,1,5,14
2020,45002,Bagnone,MS,78,0,5,0,0,5,0,6,0,4,10
2020,45002,Bagnone,MS,79,2,10,0,0,12,0,6,0,4,10
2020,45002,Bagnone,MS,80,4,12,0,2,18,0,3,0,9,12
2020,45002,Bagnone,MS,81,1,11,0,0,12,1,6,1,9,17
2020,45002,Bagnone,MS,82,0,11,1,1,13,0,6,1,6,13
2020,45002,Bagnone,MS,83,2,7,0,0,9,0,6,0,6,12
2020,45002,Bagnone,MS,84,0,2,0,2,4,2,3,1,10,16
2020,45002,Bagnone,MS,85,1,5,1,1,8,0,3,0,8,11
2020,45002,Bagnone,MS,86,2,2,0,1,5,0,0,0,12,12
2020,45002,Bagnone,MS,87,0,6,1,0,7,1,3,0,8,12
2020,45002,Bagnone,MS,88,2,1,0,2,5,1,0,0,10,11
2020,45002,Bagnone,MS,89,0,3,0,1,4,0,1,0,10,11
2020,45002,Bagnone,MS,90,0,1,0,2,3,0,0,0,10,10
2020,45002,Bagnone,MS,91,0,1,0,0,1,2,0,0,7,9
2020,45002,Bagnone,MS,92,0,0,0,5,5,0,2,0,5,7
2020,45002,Bagnone,MS,93,0,1,0,2,3,0,0,0,1,1
2020,45002,Bagnone,MS,94,0,1,0,1,2,1,0,0,4,5
2020,45002,Bagnone,MS,95,0,1,0,1,2,1,0,0,5,6
2020,45002,Bagnone,MS,96,0,0,0,1,1,0,0,0,1,1
2020,45002,Bagnone,MS,97,0,0,0,0,0,1,0,0,1,2
2020,45002,Bagnone,MS,98,0,0,0,0,0,0,0,0,0,0
2020,45002,Bagnone,MS,99,0,0,0,1,1,0,0,0,1,1
2020,45002,Bagnone,MS,100 e più,0,0,0,0,0,0,0,0,3,3
2020,45003,Carrara,MS,0,150,0,0,0,150,148,0,0,0,148
2020,45003,Carrara,MS,1,162,0,0,0,162,162,0,0,0,162
2020,45003,Carrara,MS,2,176,0,0,0,176,175,0,0,0,175
2020,45003,Carrara,MS,3,218,0,0,0,218,193,0,0,0,193
2020,45003,Carrara,MS,4,193,0,0,0,193,191,0,0,0,191
2020,45003,Carrara,MS,5,233,0,0,0,233,199,0,0,0,199
2020,45003,Carrara,MS,6,221,0,0,0,221,200,0,0,0,200
2020,45003,Carrara,MS,7,216,0,0,0,216,214,0,0,0,214
2020,45003,Carrara,MS,8,241,0,0,0,241,231,0,0,0,231
2020,45003,Carrara,MS,9,245,0,0,0,245,245,0,0,0,245
2020,45003,Carrara,MS,10,242,0,0,0,242,240,0,0,0,240
2020,45003,Carrara,MS,11,237,0,0,0,237,231,0,0,0,231
2020,45003,Carrara,MS,12,310,0,0,0,310,250,0,0,0,250
2020,45003,Carrara,MS,13,293,0,0,0,293,252,0,0,0,252
2020,45003,Carrara,MS,14,272,0,0,0,272,252,0,0,0,252
2020,45003,Carrara,MS,15,287,0,0,0,287,224,0,0,0,224
2020,45003,Carrara,MS,16,252,0,0,0,252,248,0,0,0,248
2020,45003,Carrara,MS,17,255,0,0,0,255,254,0,0,0,254
2020,45003,Carrara,MS,18,300,0,0,0,300,244,0,0,0,244
2020,45003,Carrara,MS,19,279,0,0,0,279,241,0,0,0,241
2020,45003,Carrara,MS,20,300,1,0,0,301,242,2,0,0,244
2020,45003,Carrara,MS,21,300,2,0,0,302,276,6,0,0,282
2020,45003,Carrara,MS,22,273,2,0,0,275,263,13,0,0,276
2020,45003,Carrara,MS,23,319,1,0,0,320,245,12,0,0,257
2020,45003,Carrara,MS,24,283,2,0,0,285,287,10,0,0,297
2020,45003,Carrara,MS,25,277,8,0,0,285,250,25,0,0,275
2020,45003,Carrara,MS,26,268,11,0,0,279,218,22,0,0,240
2020,45003,Carrara,MS,27,283,12,0,0,295,218,35,1,0,254
2020,45003,Carrara,MS,28,266,12,0,0,278,220,48,1,0,269
2020,45003,Carrara,MS,29,258,21,2,0,281,243,70,1,1,315
2020,45003,Carrara,MS,30,263,27,0,0,290,226,74,5,0,305
2020,45003,Carrara,MS,31,263,46,4,0,313,193,65,4,0,262
2020,45003,Carrara,MS,32,228,62,2,0,293,171,95,5,0,271
2020,45003,Carrara,MS,33,206,64,2,0,273,182,103,8,1,294
2020,45003,Carrara,MS,34,230,77,8,0,316,131,138,5,0,274
2020,45003,Carrara,MS,35,219,88,2,0,309,145,135,10,1,291
2020,45003,Carrara,MS,36,225,120,4,0,349,149,145,8,0,302
2020,45003,Carrara,MS,37,212,111,7,0,330,130,169,10,0,309
2020,45003,Carrara,MS,38,193,124,8,0,325,164,181,11,1,357
2020,45003,Carrara,MS,39,197,171,5,0,373,138,204,17,3,362
2020,45003,Carrara,MS,40,198,168,13,1,380,143,206,24,2,375
2020,45003,Carrara,MS,41,185,176,17,0,378,145,220,28,3,397
2020,45003,Carrara,MS,42,178,187,14,0,379,118,228,23,2,371
2020,45003,Carrara,MS,43,195,241,25,0,461,127,262,36,2,427
2020,45003,Carrara,MS,44,205,208,21,1,435,127,285,29,4,445
2020,45003,Carrara,MS,45,193,293,18,3,507,143,314,42,8,508
2020,45003,Carrara,MS,46,219,266,20,2,507,122,316,45,3,488
2020,45003,Carrara,MS,47,166,270,26,0,462,122,315,52,8,498
2020,45003,Carrara,MS,48,173,297,32,2,504,112,340,52,2,507
2020,45003,Carrara,MS,49,175,299,33,2,510,110,315,60,12,497
2020,45003,Carrara,MS,50,144,318,37,2,502,97,363,71,6,537
2020,45003,Carrara,MS,51,144,309,52,2,508,105,380,56,8,550
2020,45003,Carrara,MS,52,128,310,36,1,476,65,335,49,22,472
2020,45003,Carrara,MS,53,124,327,37,1,489,69,369,49,18,505
2020,45003,Carrara,MS,54,94,334,42,3,474,58,373,65,16,512
2020,45003,Carrara,MS,55,105,350,49,1,505,56,370,54,15,495
2020,45003,Carrara,MS,56,92,367,56,5,520,67,378,58,23,526
2020,45003,Carrara,MS,57,75,386,45,5,511,50,374,62,23,509
2020,45003,Carrara,MS,58,88,360,43,8,499,51,363,51,23,488
2020,45003,Carrara,MS,59,71,319,37,5,432,43,335,46,33,457
2020,45003,Carrara,MS,60,63,299,43,1,406,42,320,48,37,447
2020,45003,Carrara,MS,61,48,361,42,6,457,30,358,58,34,480
2020,45003,Carrara,MS,62,55,365,26,12,458,46,351,54,38,489
2020,45003,Carrara,MS,63,49,320,27,1,397,29,328,44,57,458
2020,45003,Carrara,MS,64,48,321,31,8,408,26,322,38,59,445
2020,45003,Carrara,MS,65,26,316,23,11,376,37,310,31,57,435
2020,45003,Carrara,MS,66,47,298,27,8,380,21,310,24,69,424
2020,45003,Carrara,MS,67,25,265,21,8,319,17,288,27,76,408
2020,45003,Carrara,MS,68,23,289,25,23,360,19,247,34,78,378
2020,45003,Carrara,MS,69,22,281,21,19,343,16,258,19,79,372
2020,45003,Carrara,MS,70,21,318,23,15,377,30,261,25,88,404
2020,45003,Carrara,MS,71,22,290,17,32,361,19,266,24,109,418
2020,45003,Carrara,MS,72,28,308,21,26,383,21,275,16,135,447
2020,45003,Carrara,MS,73,26,333,18,39,416,20,306,16,148,490
2020,45003,Carrara,MS,74,17,334,17,31,399,19,252,25,154,450
2020,45003,Carrara,MS,75,10,161,10,19,200,10,172,10,91,283
2020,45003,Carrara,MS,76,10,249,7,38,304,20,214,23,141,398
2020,45003,Carrara,MS,77,9,198,7,29,243,12,168,6,128,314
2020,45003,Carrara,MS,78,11,221,4,25,261,12,153,7,137,309
2020,45003,Carrara,MS,79,16,226,9,38,289,9,192,11,189,401
2020,45003,Carrara,MS,80,13,214,4,39,270,14,161,11,206,392
2020,45003,Carrara,MS,81,11,193,4,43,251,20,140,6,177,343
2020,45003,Carrara,MS,82,9,233,6,43,291,23,104,2,250,379
2020,45003,Carrara,MS,83,4,153,7,35,199,14,92,4,192,302
2020,45003,Carrara,MS,84,5,138,4,25,172,17,80,4,199,300
2020,45003,Carrara,MS,85,5,107,2,34,148,18,57,5,183,263
2020,45003,Carrara,MS,86,8,79,0,33,120,11,48,4,169,232
2020,45003,Carrara,MS,87,2,75,1,26,104,7,46,6,140,199
2020,45003,Carrara,MS,88,5,48,0,34,87,14,25,1,165,205
2020,45003,Carrara,MS,89,3,52,0,23,78,8,16,1,131,156
2020,45003,Carrara,MS,90,6,36,2,22,66,11,14,4,144,173
2020,45003,Carrara,MS,91,1,33,1,23,58,9,5,1,107,122
2020,45003,Carrara,MS,92,1,13,0,7,21,6,8,3,94,111
2020,45003,Carrara,MS,93,2,12,0,13,27,5,1,1,76,83
2020,45003,Carrara,MS,94,0,10,0,10,20,5,2,0,60,67
2020,45003,Carrara,MS,95,1,6,0,10,17,2,1,0,61,64
2020,45003,Carrara,MS,96,0,2,0,4,6,5,0,0,39,44
2020,45003,Carrara,MS,97,0,1,0,3,4,1,0,0,26,27
2020,45003,Carrara,MS,98,0,1,0,3,4,2,0,0,19,21
2020,45003,Carrara,MS,99,0,0,0,4,4,0,0,0,12,12
2020,45003,Carrara,MS,100 e più,0,0,0,0,0,2,0,0,15,17
2020,45004,Casola in Lunigiana,MS,0,2,0,0,0,2,1,0,0,0,1
2020,45004,Casola in Lunigiana,MS,1,2,0,0,0,2,6,0,0,0,6
2020,45004,Casola in Lunigiana,MS,2,1,0,0,0,1,4,0,0,0,4
2020,45004,Casola in Lunigiana,MS,3,0,0,0,0,0,1,0,0,0,1
2020,45004,Casola in Lunigiana,MS,4,3,0,0,0,3,2,0,0,0,2
2020,45004,Casola in Lunigiana,MS,5,1,0,0,0,1,1,0,0,0,1
2020,45004,Casola in Lunigiana,MS,6,3,0,0,0,3,2,0,0,0,2
2020,45004,Casola in Lunigiana,MS,7,5,0,0,0,5,1,0,0,0,1
2020,45004,Casola in Lunigiana,MS,8,1,0,0,0,1,2,0,0,0,2
2020,45004,Casola in Lunigiana,MS,9,3,0,0,0,3,5,0,0,0,5
2020,45004,Casola in Lunigiana,MS,10,1,0,0,0,1,2,0,0,0,2
2020,45004,Casola in Lunigiana,MS,11,5,0,0,0,5,1,0,0,0,1
2020,45004,Casola in Lunigiana,MS,12,4,0,0,0,4,3,0,0,0,3
2020,45004,Casola in Lunigiana,MS,13,2,0,0,0,2,3,0,0,0,3
2020,45004,Casola in Lunigiana,MS,14,2,0,0,0,2,3,0,0,0,3
2020,45004,Casola in Lunigiana,MS,15,3,0,0,0,3,4,0,0,0,4
2020,45004,Casola in Lunigiana,MS,16,1,0,0,0,1,2,0,0,0,2
2020,45004,Casola in Lunigiana,MS,17,2,0,0,0,2,6,0,0,0,6
2020,45004,Casola in Lunigiana,MS,18,4,0,0,0,4,2,0,0,0,2
2020,45004,Casola in Lunigiana,MS,19,4,0,0,0,4,2,0,0,0,2
2020,45004,Casola in Lunigiana,MS,20,2,0,0,0,2,6,0,0,0,6
2020,45004,Casola in Lunigiana,MS,21,3,0,0,0,3,9,0,0,0,9
2020,45004,Casola in Lunigiana,MS,22,2,0,0,0,2,4,0,0,0,4
2020,45004,Casola in Lunigiana,MS,23,0,0,0,0,0,2,0,0,0,2
2020,45004,Casola in Lunigiana,MS,24,5,0,0,0,5,2,0,0,0,2
2020,45004,Casola in Lunigiana,MS,25,6,0,0,0,6,1,0,0,0,1
2020,45004,Casola in Lunigiana,MS,26,4,0,0,0,4,6,0,0,0,6
2020,45004,Casola in Lunigiana,MS,27,2,0,0,0,2,2,2,0,0,4
2020,45004,Casola in Lunigiana,MS,28,4,0,1,0,5,3,1,0,0,4
2020,45004,Casola in Lunigiana,MS,29,5,0,0,0,5,3,1,0,0,4
2020,45004,Casola in Lunigiana,MS,30,6,2,0,0,8,2,3,0,0,5
2020,45004,Casola in Lunigiana,MS,31,4,0,0,0,4,5,0,0,0,5
2020,45004,Casola in Lunigiana,MS,32,3,0,0,0,3,5,1,0,0,6
2020,45004,Casola in Lunigiana,MS,33,7,0,0,0,7,1,2,0,0,3
2020,45004,Casola in Lunigiana,MS,34,7,3,0,0,10,1,1,0,0,2
2020,45004,Casola in Lunigiana,MS,35,5,1,0,0,6,2,0,0,0,2
2020,45004,Casola in Lunigiana,MS,36,2,1,0,0,3,4,1,0,0,5
2020,45004,Casola in Lunigiana,MS,37,5,1,0,0,6,1,4,0,0,5
2020,45004,Casola in Lunigiana,MS,38,2,1,0,0,3,4,0,0,0,4
2020,45004,Casola in Lunigiana,MS,39,2,0,0,0,2,0,2,0,0,2
2020,45004,Casola in Lunigiana,MS,40,1,0,0,0,1,2,4,0,0,6
2020,45004,Casola in Lunigiana,MS,41,1,3,0,0,4,3,3,1,0,7
2020,45004,Casola in Lunigiana,MS,42,1,1,0,0,2,3,2,0,0,5
2020,45004,Casola in Lunigiana,MS,43,2,4,0,0,6,1,3,0,0,4
2020,45004,Casola in Lunigiana,MS,44,4,3,0,0,7,1,0,0,0,1
2020,45004,Casola in Lunigiana,MS,45,4,4,0,0,8,3,5,0,0,8
2020,45004,Casola in Lunigiana,MS,46,0,5,0,0,5,1,2,0,0,3
2020,45004,Casola in Lunigiana,MS,47,6,2,0,0,8,0,6,1,0,7
2020,45004,Casola in Lunigiana,MS,48,2,4,0,0,6,3,1,0,0,4
2020,45004,Casola in Lunigiana,MS,49,2,4,0,0,6,0,5,1,0,6
2020,45004,Casola in Lunigiana,MS,50,1,3,1,0,5,2,2,0,1,5
2020,45004,Casola in Lunigiana,MS,51,2,3,0,0,5,1,3,1,0,5
2020,45004,Casola in Lunigiana,MS,52,2,3,0,0,5,2,6,0,0,8
2020,45004,Casola in Lunigiana,MS,53,4,2,3,0,9,1,9,1,0,11
2020,45004,Casola in Lunigiana,MS,54,1,4,0,0,5,1,5,0,0,6
2020,45004,Casola in Lunigiana,MS,55,2,3,0,1,6,1,4,0,0,5
2020,45004,Casola in Lunigiana,MS,56,3,5,1,1,10,1,13,0,0,14
2020,45004,Casola in Lunigiana,MS,57,2,8,1,0,11,0,6,0,0,6
2020,45004,Casola in Lunigiana,MS,58,1,9,1,0,11,0,2,1,0,3
2020,45004,Casola in Lunigiana,MS,59,1,5,0,0,6,2,12,0,0,14
2020,45004,Casola in Lunigiana,MS,60,0,7,0,0,7,0,6,0,1,7
2020,45004,Casola in Lunigiana,MS,61,2,5,2,2,11,1,5,1,0,7
2020,45004,Casola in Lunigiana,MS,62,1,3,1,0,5,2,11,0,0,13
2020,45004,Casola in Lunigiana,MS,63,1,7,0,0,8,0,6,1,0,7
2020,45004,Casola in Lunigiana,MS,64,2,4,0,0,6,1,4,0,1,6
2020,45004,Casola in Lunigiana,MS,65,4,6,0,0,10,1,7,0,1,9
2020,45004,Casola in Lunigiana,MS,66,0,5,2,0,7,1,8,0,1,10
2020,45004,Casola in Lunigiana,MS,67,1,4,1,0,6,0,6,0,1,7
